file,scenario,what_it_s_testing_why_it_s_hard
01_pivoted_wide_monthly_premiums.xlsx,Wide/pivoted monthly premium matrix,"Rows=Producer, columns=month. This is not a row-classification problem at all — it needs detection of a pivot layout and an unpivot/melt step to reach the canonical long format (one row per Producer x Month)."
02_mixed_currency_and_negative_parens.xlsx,"Mixed currency symbols, thousands separators, negatives-in-parens, stray text","Premium column mixes $, EUR, bare numbers, parenthesis-negatives, trailing currency codes, and a non-numeric 'N/A' — a single blanket regex strip will fail on at least one of these."
03_inconsistent_percentage_representation.xlsx,"Percent column mixes 0-100 scale, 0-1 fraction scale, '%' suffix text, and padded whitespace",Commission% has four different representations of the same underlying concept in one column — naive numeric coercion silently produces wrong magnitudes for the fraction-scale rows.
04_unicode_nbsp_zerowidth_emoji_headers.xlsx,"Headers contaminated with non-breaking spaces, zero-width spaces, accented chars, emoji","Visually identical headers that fail exact/naive string matching because of invisible Unicode characters (\u00a0, \u200b) or accent substitution — alias matching must normalize Unicode, not just ASCII whitespace."
05_scientific_notation_ids.xlsx,ProfitCenterNumber stored partly in scientific notation,"Some ID values got auto-converted by Excel to scientific-notation floats/strings (1.005E+03) instead of the integer 1005 — type normalization must recover the intended integer ID, not just cast-to-float blindly."
06_embedded_newlines_in_cells.xlsx,Cell values contain embedded newline characters,"Producer and Company name cells contain literal \n inside the string, which breaks any parsing logic that assumes one logical record = one physical text line (a risk mainly for naive CSV-based readers, but worth normalizing away regardless)."
07_excel_serial_and_mixed_dates.xlsx,"Date column mixes raw Excel serial integers, real datetimes, ISO text, DD/MM text, and one invalid value","46023 is a raw Excel date serial number stored as a plain integer (no date format applied) — must be recognized and converted via the 1899-12-30 epoch, not treated as a numeric Premium-like value."
08_decoy_bigger_table_above_real_table.xlsx,A 40-row junk/reference table (unrelated schema) sits above the much smaller real 8-row commission table,"Breaks any heuristic that picks 'the largest contiguous data block' as the table — table selection must be schema-aware (does the block's headers resolve against the canonical alias dictionary?), not row-count-aware."
09_duplicate_case_variant_headers.xlsx,"'Premium' and 'PREMIUM ' (trailing space, different case) appear as two distinct columns with different values","A case-insensitive/whitespace-trimmed alias matcher would wrongly collapse these into one field and silently overwrite or drop one column's data — collision must be detected and both columns preserved or flagged, not merged."
10_three_way_ambiguous_fuzzy_lookup.xlsx,Fact-side 'MJC' is equidistant from three plausible lookup candidates (MJC Agency Group / MJC Insurance Co / MJC Risk Partners),A pure best-match fuzzy join would pick one arbitrarily. Correct behavior is to detect the near-tie (small margin between best and second-best score) and flag it for manual review instead of silently auto-resolving.
11_summary_row_before_header_and_data.xlsx,"A totals/summary block appears at the very top of the sheet, above the header and data","Every subtotal-detection heuristic in a typical design assumes totals trail the data they summarize. Here the aggregate row(s) come first, so position-based 'totals are near the end' assumptions fail; detection must be purely content-based (label keyword + null key columns), not positional."
12_deep_offset_header_row_300.xlsx,"Real header/table doesn't start until row 300, preceded by ~300 mostly-blank rows with scattered junk notes",Stress-tests both correctness (don't stop scanning after the first few dozen rows / don't assume the header is within some small row window) and performance (scanning must scale to sheets with large empty preambles).
13_table_offset_far_right_wide_sheet.xlsx,The real table sits at columns AB:AI; columns A through AA are entirely blank,"Column-offset detection must generalize past 'a column or two of gutter' to arbitrarily large blank offsets, and must not assume the table starts anywhere near column A."
14_continuation_sheet_no_header.xlsx,Sheet 1 has header+data; Sheet 2 ('Continued') has the remaining rows with NO header at all — same column order,The per-sheet pipeline will fail to find any header-like row on sheet 2 (every row looks like data). Workbook orchestration must recognize this as a continuation of sheet 1's schema (matching column count/type signature) rather than treating sheet 2 as headerless garbage or its own broken table.
15_jagged_irregular_merges.xlsx,"Merged ranges are irregular: a 2-column merge and a 1x2 vertical merge in the header, plus merges inside the body that span rows in one place and columns in another","Non-rectangular, inconsistent merge patterns break naive 'unmerge = copy top-left value to whole range' logic when merges cross between what should be independent records — tests robustness of the unmerge step under irregular geometry."
16_arithmetic_trap_wrong_subtotal_value.xlsx,A row labeled 'Subtotal' whose numeric value does not actually match the sum of the preceding rows (data-entry error in the source report),"If subtotal detection relies only on 'does this value equal the sum of preceding rows', this row is missed entirely. Keyword-based detection (the word 'Subtotal' plus null key columns) must take priority over — or run independently of — the arithmetic check."
17_required_column_entirely_null.xlsx,"PolicyNumber header is present and correctly detected, but every single value beneath it is blank","A schema-presence check alone ('is there a PolicyNumber column?') passes, but the field is functionally missing. Validation must also check completeness/non-null rate on required fields, not just header presence."
18_combined_ultra_stress.xlsx,"Final-boss case: merged banner title, table offset to column D, subtotal row mid-table, scientific-notation ID, a hidden row, a non-numeric 'Grand Total' value, and a fuzzy-match lookup block below it all in one sheet","Exercises boundary detection, offset detection, subtotal detection, type normalization, hidden-row policy, malformed-total handling, and fuzzy join resolution simultaneously — a true end-to-end regression case."
